epoch,train_loss,val_mae,val_corr,lr,epoch_time_s,is_best
1,29.075680,29.4839,0.295654,2.00e-05,18.3,1
2,28.332483,30.0744,0.404450,2.00e-05,17.4,0
3,27.299907,27.9339,0.810852,2.00e-05,17.6,1
4,25.984079,25.7119,0.656062,2.00e-05,17.3,1
5,24.297792,24.3735,0.708881,2.00e-05,17.5,1
6,22.792227,23.5222,0.827366,2.00e-05,17.8,1
7,20.861927,20.7519,0.798876,2.00e-05,17.5,1
8,19.327847,19.4253,0.838536,2.00e-05,17.8,1
9,17.885450,17.6128,0.847926,2.00e-05,17.6,1
10,16.818044,17.4495,0.830685,2.00e-05,17.7,1
11,15.288818,15.7244,0.847309,2.00e-05,17.7,1
12,14.422495,14.0800,0.880418,2.00e-05,17.8,1
13,13.452268,13.2138,0.908430,2.00e-05,17.9,1
14,12.631414,12.4647,0.887096,2.00e-05,17.9,1
15,11.990728,13.0445,0.922940,2.00e-05,17.7,0
16,11.352780,11.8333,0.909629,2.00e-05,17.5,1
17,10.894636,12.1832,0.909957,2.00e-05,17.9,0
18,10.668364,11.6668,0.909570,2.00e-05,18.1,1
19,10.327698,12.1695,0.905349,2.00e-05,17.8,0
20,9.787247,11.8134,0.929393,2.00e-05,18.0,0
21,9.667865,11.7896,0.928227,1.00e-05,18.0,0
22,8.566081,10.5035,0.934580,1.00e-05,18.0,1
23,7.907287,10.3187,0.933475,1.00e-05,17.8,1
24,7.620480,10.9750,0.931640,1.00e-05,17.9,0
25,7.520419,10.6891,0.940625,1.00e-05,17.8,0
26,7.271426,10.0631,0.934072,1.00e-05,18.0,1
27,7.082767,10.8578,0.937726,1.00e-05,17.8,0
28,6.905665,10.1037,0.934920,1.00e-05,18.1,0
29,6.832385,10.5751,0.930568,5.00e-06,17.9,0
30,6.320285,10.2548,0.941303,5.00e-06,18.0,0
31,6.005225,9.9337,0.936999,5.00e-06,18.0,1
32,5.954984,9.8383,0.942713,5.00e-06,17.9,1
33,5.830124,10.1237,0.944513,5.00e-06,17.8,0
34,5.673917,9.9418,0.943561,5.00e-06,18.0,0
35,5.744026,10.5011,0.944663,2.50e-06,18.1,0
36,5.570595,9.5152,0.945732,2.50e-06,17.9,1
37,5.304776,10.0348,0.947280,2.50e-06,17.8,0
38,5.218798,9.7384,0.945746,2.50e-06,18.1,0
39,5.169596,9.6672,0.942146,1.25e-06,18.1,0
40,4.923269,9.7147,0.945221,1.25e-06,17.9,0
41,5.050770,9.6087,0.945844,1.25e-06,18.2,0
42,5.026413,9.5793,0.944513,1.00e-06,17.8,0
43,4.984657,9.6153,0.945400,1.00e-06,18.0,0
44,4.731295,9.6215,0.944103,1.00e-06,18.2,0
45,5.032276,9.7025,0.945491,1.00e-06,17.6,0
46,5.057502,9.6031,0.946883,1.00e-06,17.9,0
47,4.748405,9.5513,0.945392,1.00e-06,17.6,0
48,4.853435,9.5258,0.946190,1.00e-06,17.8,0
49,4.917230,9.7693,0.946365,1.00e-06,18.0,0
50,4.831716,9.5199,0.947027,1.00e-06,17.9,0
51,4.876288,9.5867,0.946542,1.00e-06,18.1,0
52,4.960603,9.7190,0.947130,1.00e-06,17.9,0
53,4.698575,9.6817,0.946459,1.00e-06,18.0,0
54,4.836726,9.5463,0.947602,1.00e-06,17.8,0
55,4.917204,9.5925,0.946393,1.00e-06,18.2,0
56,4.971966,9.8527,0.947728,1.00e-06,17.8,0
57,4.722850,9.5817,0.943770,1.00e-06,17.8,0
