epoch,train_loss,val_mae,val_corr,lr,epoch_time_s,is_best
1,31.414430,32.0688,0.202035,3.00e-05,42.1,1
2,30.621492,31.2647,0.255119,3.00e-05,15.5,1
3,30.003278,30.6483,0.277133,3.00e-05,15.6,1
4,29.469226,30.8530,0.261772,3.00e-05,15.5,0
5,29.086038,29.9021,0.324721,3.00e-05,15.6,1
6,28.740611,29.6117,0.361149,3.00e-05,15.6,1
7,28.579605,29.7726,0.360285,3.00e-05,15.6,0
8,28.521220,29.3321,0.348526,3.00e-05,15.6,1
9,28.379879,29.2320,0.386888,3.00e-05,15.7,1
10,28.180355,28.9853,0.359753,3.00e-05,15.6,1
11,28.224133,29.8372,0.363503,3.00e-05,15.6,0
12,28.116014,29.6789,0.364654,3.00e-05,15.6,0
13,27.899541,28.7665,0.434565,3.00e-05,15.7,1
14,27.950821,29.2851,0.396734,3.00e-05,15.6,0
15,27.738641,28.5067,0.458949,3.00e-05,15.6,1
16,27.581012,28.6151,0.447676,3.00e-05,15.7,0
17,27.401248,28.5100,0.404605,3.00e-05,15.6,0
18,27.195605,28.4224,0.497490,3.00e-05,15.6,1
19,27.104622,28.3711,0.530841,3.00e-05,15.6,1
20,27.161182,29.2470,0.474306,3.00e-05,15.6,0
21,26.841662,27.8850,0.553335,3.00e-05,15.6,1
22,26.818559,30.6859,0.547371,3.00e-05,15.6,0
23,26.568922,27.2996,0.610196,3.00e-05,15.6,1
24,26.472203,27.2557,0.557396,3.00e-05,15.6,1
25,26.261806,28.1554,0.576300,3.00e-05,15.6,0
26,26.291008,29.3083,0.564524,3.00e-05,15.6,0
27,25.981551,28.8468,0.478048,3.00e-05,15.6,0
28,25.924706,26.6375,0.653609,3.00e-05,15.6,1
29,25.701105,27.2067,0.617897,3.00e-05,15.5,0
30,25.782675,26.5537,0.690523,3.00e-05,15.5,1
31,25.422745,27.4645,0.626686,3.00e-05,15.6,0
32,25.187865,26.1545,0.689601,3.00e-05,15.6,1
33,24.894711,27.9232,0.651313,3.00e-05,15.7,0
34,24.928603,25.6077,0.698813,3.00e-05,15.6,1
35,24.867734,26.6211,0.696412,3.00e-05,15.6,0
36,24.327481,25.5904,0.672058,3.00e-05,15.6,1
37,24.235865,25.3915,0.670561,3.00e-05,15.6,1
38,24.194778,31.6038,0.708972,3.00e-05,15.6,0
39,23.988020,39.6423,0.680256,3.00e-05,15.6,0
40,23.834331,26.8613,0.703461,3.00e-05,15.6,0
41,23.463452,27.8227,0.606556,3.00e-05,15.6,0
42,23.852192,23.9991,0.727154,3.00e-05,15.7,1
