epoch,train_loss,val_mae,val_corr,lr,epoch_time_s,is_best
1,29.101873,29.5870,0.210948,3.00e-05,17.5,1
2,28.480753,29.1293,0.638901,3.00e-05,16.1,1
3,27.451376,26.5567,0.589316,2.99e-05,16.5,1
4,25.129231,23.9359,0.787684,2.99e-05,16.7,1
5,22.648794,22.0721,0.781524,2.98e-05,17.2,1
6,20.735001,22.2381,0.710798,2.97e-05,17.6,0
7,18.092556,18.5768,0.869101,2.97e-05,17.9,1
8,16.514359,15.9639,0.848876,2.95e-05,17.9,1
9,14.864392,13.8734,0.888219,2.94e-05,17.9,1
10,13.822378,13.5879,0.879849,2.93e-05,18.3,1
11,13.132341,12.9810,0.914900,2.91e-05,17.8,1
12,12.505452,12.4360,0.917846,2.90e-05,17.6,1
13,11.876023,12.2841,0.921304,2.88e-05,17.4,1
14,11.755250,11.5531,0.915094,2.86e-05,17.6,1
15,11.366194,11.2726,0.919344,2.84e-05,17.5,1
16,11.178633,11.2625,0.915534,2.82e-05,17.5,1
17,10.730682,11.5592,0.933048,2.80e-05,17.7,0
18,10.165973,10.8489,0.933433,2.77e-05,17.5,1
19,9.744160,11.3417,0.927547,2.75e-05,17.6,0
20,9.411310,10.5031,0.930524,2.72e-05,17.7,1
21,9.303403,11.1231,0.934853,2.70e-05,17.7,0
22,8.988578,11.4856,0.922294,2.67e-05,17.8,0
23,8.654387,11.0886,0.935420,2.64e-05,17.8,0
24,8.758183,10.4765,0.932559,2.61e-05,17.7,1
25,8.177587,10.0184,0.942509,2.58e-05,17.7,1
26,7.971999,9.7968,0.937036,2.54e-05,17.7,1
27,7.699334,10.9612,0.941052,2.51e-05,20.2,0
28,7.714147,9.9104,0.938724,2.47e-05,20.1,0
29,7.611665,9.7993,0.938669,2.44e-05,17.7,0
30,7.101308,10.4794,0.945357,2.40e-05,17.8,0
31,7.245437,10.0638,0.940479,2.37e-05,17.6,0
32,7.030400,10.5780,0.931766,2.33e-05,17.5,0
33,6.798726,9.8033,0.940050,2.29e-05,17.6,0
34,6.714056,9.6456,0.943621,2.25e-05,17.6,1
35,6.720339,10.1852,0.938909,2.21e-05,17.6,0
36,6.277645,9.2507,0.947604,2.17e-05,17.5,1
37,6.206916,10.9866,0.941571,2.13e-05,17.3,0
38,6.016846,10.3858,0.943147,2.08e-05,17.7,0
39,6.153666,9.6794,0.949901,2.04e-05,17.6,0
40,6.171156,10.1887,0.937107,2.00e-05,17.7,0
41,6.013703,9.3580,0.943967,1.95e-05,17.6,0
42,5.752470,9.8431,0.941279,1.91e-05,17.5,0
43,5.757047,9.7492,0.948220,1.87e-05,17.3,0
44,5.717485,10.0433,0.942636,1.82e-05,17.4,0
45,5.400092,9.7129,0.950065,1.78e-05,17.6,0
46,5.628997,10.5759,0.949723,1.73e-05,17.7,0
47,5.625261,9.8630,0.944418,1.69e-05,17.8,0
48,5.530930,9.1061,0.948537,1.64e-05,17.9,1
49,5.286225,9.3656,0.948078,1.60e-05,17.7,0
50,5.262163,10.4197,0.946673,1.55e-05,17.9,0
51,5.243428,9.7639,0.947008,1.50e-05,17.8,0
52,5.130402,9.8535,0.946444,1.46e-05,17.9,0
53,5.035526,10.4523,0.948538,1.41e-05,17.8,0
