epoch,train_loss,val_mae,val_corr,lr,epoch_time_s,is_best
1,29.179295,29.2971,0.331443,3.00e-05,17.9,1
2,28.350867,28.1176,0.538354,3.00e-05,17.1,1
3,27.302858,27.3575,0.494149,3.00e-05,17.2,1
4,25.282413,25.0758,0.774452,3.00e-05,17.1,1
5,23.212629,22.0029,0.753844,3.00e-05,17.1,1
6,20.769173,19.3791,0.848217,3.00e-05,17.4,1
7,18.490818,18.1569,0.846911,3.00e-05,17.2,1
8,16.963190,15.9633,0.874992,3.00e-05,17.2,1
9,15.600583,14.9823,0.883597,3.00e-05,17.3,1
10,14.415467,15.2438,0.857221,3.00e-05,17.3,0
11,13.594910,12.9117,0.888371,3.00e-05,17.5,1
12,12.660266,13.6878,0.878991,3.00e-05,17.5,0
13,12.104530,12.3543,0.900029,3.00e-05,17.4,1
