epoch,train_loss,val_mae,val_corr,lr,epoch_time_s,is_best
1,29.292392,29.9984,-0.015228,4.00e-05,18.9,1
2,28.954691,29.9081,0.148973,4.00e-05,18.1,1
3,28.921319,29.5919,0.179293,4.00e-05,18.1,1
4,28.839587,29.4529,0.209110,4.00e-05,18.3,1
5,28.686452,28.7573,0.383278,4.00e-05,18.1,1
6,27.818283,28.6893,0.416406,4.00e-05,17.9,1
7,27.173084,26.7546,0.718002,4.00e-05,18.2,1
8,24.945811,24.2883,0.765657,4.00e-05,18.1,1
9,21.894549,21.0183,0.809999,4.00e-05,18.2,1
10,19.061083,19.2788,0.841647,4.00e-05,18.3,1
11,16.721440,16.5905,0.863206,4.00e-05,18.4,1
12,15.319777,15.0970,0.872935,4.00e-05,18.4,1
13,14.462615,13.9959,0.868040,4.00e-05,18.5,1
14,13.760723,12.9181,0.897557,4.00e-05,18.3,1
15,12.975282,12.3834,0.909425,4.00e-05,18.5,1
16,12.625276,12.9758,0.903207,4.00e-05,18.6,0
17,12.174355,12.2532,0.904595,4.00e-05,18.5,1
18,11.669270,11.7580,0.914866,4.00e-05,18.3,1
19,11.610607,12.0029,0.909025,4.00e-05,18.3,0
20,11.470751,10.8373,0.924894,4.00e-05,18.5,1
21,11.137472,12.6833,0.940919,4.00e-05,18.2,0
22,11.019463,12.7646,0.937897,4.00e-05,18.2,0
23,10.791025,11.6902,0.925284,2.00e-05,18.4,0
24,9.555831,10.2244,0.936621,2.00e-05,18.2,1
25,9.186023,9.9110,0.942004,2.00e-05,18.3,1
26,8.978876,9.5346,0.956803,2.00e-05,18.2,1
27,8.642870,9.6938,0.943965,2.00e-05,18.3,0
28,8.510197,9.6034,0.956786,2.00e-05,18.5,0
29,8.168690,9.5548,0.948127,1.00e-05,18.4,0
30,7.555743,8.7789,0.955301,1.00e-05,18.3,1
31,7.367320,8.7435,0.957140,1.00e-05,18.3,1
32,6.953645,8.6805,0.955636,1.00e-05,18.4,1
33,7.075075,8.7104,0.953306,1.00e-05,18.4,0
34,6.806803,8.9734,0.953624,1.00e-05,18.3,0
35,7.076270,9.0070,0.953013,5.00e-06,18.3,0
36,6.519020,8.5273,0.954500,5.00e-06,18.4,1
37,6.501604,8.5122,0.955031,5.00e-06,18.2,1
38,6.224774,8.5109,0.955399,5.00e-06,18.2,1
39,6.349442,8.6626,0.957094,5.00e-06,18.1,0
40,6.166044,8.7976,0.954608,2.50e-06,18.2,0
41,5.972369,8.8412,0.958760,2.50e-06,18.1,0
42,5.899167,8.5374,0.958086,2.50e-06,18.3,0
43,5.783485,8.6311,0.957023,1.25e-06,18.2,0
44,5.831030,8.5789,0.956933,1.25e-06,18.4,0
45,5.621103,8.6407,0.955873,1.25e-06,18.2,0
46,5.662709,8.5657,0.956910,6.25e-07,18.5,0
47,5.450157,8.5603,0.956357,6.25e-07,18.5,0
48,5.655278,8.5588,0.956122,6.25e-07,18.6,0
49,5.545977,8.6515,0.956315,3.13e-07,18.6,0
50,5.342353,8.5612,0.957128,3.13e-07,18.4,0
51,5.698193,8.6615,0.958795,3.13e-07,18.4,0
52,5.608896,8.5886,0.957626,1.56e-07,18.4,0
53,5.641763,8.5774,0.956811,1.56e-07,18.4,0
54,5.403856,8.5622,0.956784,1.56e-07,18.5,0
55,5.521391,8.6028,0.957743,7.81e-08,18.6,0
56,5.626415,8.5461,0.957218,7.81e-08,18.6,0
57,5.608728,8.5774,0.957742,7.81e-08,18.4,0
58,5.477701,8.5256,0.958244,3.91e-08,18.5,0
59,5.590727,8.4851,0.957536,3.91e-08,18.6,1
60,5.683584,8.5222,0.958429,3.91e-08,18.3,0
61,5.602534,8.4825,0.957828,3.91e-08,18.3,1
62,5.514183,8.5215,0.957119,1.95e-08,18.3,0
63,5.754591,8.5081,0.956885,1.95e-08,18.3,0
64,5.498264,8.4851,0.958171,1.95e-08,18.5,0
65,5.518891,8.5783,0.957191,1.95e-08,18.4,0
66,5.459072,8.5214,0.957509,1.95e-08,18.4,0
67,5.550400,8.5748,0.958617,1.95e-08,18.5,0
68,5.565932,8.4793,0.957793,1.95e-08,18.6,1
69,5.477814,8.6975,0.957321,1.95e-08,18.4,0
70,5.513051,8.4806,0.958671,1.95e-08,18.4,0
71,5.432740,8.5599,0.957068,1.95e-08,18.4,0
72,5.499247,8.6297,0.958526,1.95e-08,18.4,0
73,5.350986,8.5789,0.957647,1.95e-08,18.3,0
74,5.459735,8.4909,0.957486,1.95e-08,18.3,0
75,5.459619,8.5061,0.957933,1.95e-08,18.4,0
76,5.396337,8.5836,0.958583,1.95e-08,18.5,0
77,5.443941,8.5406,0.958341,1.95e-08,18.5,0
