2026-04-11 14:50:43 | Args: {'train_csv': '/projectnb/medaihack/ABPET/data/train.csv', 'val_csv': '/projectnb/medaihack/ABPET/data/val.csv', 'epochs': 100, 'batch_size': 2, 'lr': 2e-05, 'num_workers': 4, 'resnet_depth': 18, 'embed_dim': 64, 'dropout': 0.5, 'checkpoint_dir': 'checkpoints', 'cache': False, 'loss': 'mae', 'patience': 15, 'max_grad_norm': 1.0, 'scheduler': 'plateau', 'lr_factor': 0.5, 'lr_patience': 2, 'lr_cooldown': 0, 'min_lr': 1e-06, 'compile': False, 'log_dir': 'logs', 'results_dir': 'results'}
2026-04-11 14:50:43 | Device: cuda
2026-04-11 14:50:44 | Model parameters: 33,324,993
2026-04-11 14:50:44 | ResNet depth: 18
2026-04-11 14:51:04 | Epoch   1/100 | Loss: 29.0757 | MAE: 29.48 CL | r: 0.2957 | LR: 2.00e-05 | 18.3s | ES patience: 0/15 [*]
2026-04-11 14:51:21 | Epoch   2/100 | Loss: 28.3325 | MAE: 30.07 CL | r: 0.4045 | LR: 2.00e-05 | 17.4s | ES patience: 1/15
2026-04-11 14:51:39 | Epoch   3/100 | Loss: 27.2999 | MAE: 27.93 CL | r: 0.8109 | LR: 2.00e-05 | 17.6s | ES patience: 0/15 [*]
2026-04-11 14:51:57 | Epoch   4/100 | Loss: 25.9841 | MAE: 25.71 CL | r: 0.6561 | LR: 2.00e-05 | 17.3s | ES patience: 0/15 [*]
2026-04-11 14:52:15 | Epoch   5/100 | Loss: 24.2978 | MAE: 24.37 CL | r: 0.7089 | LR: 2.00e-05 | 17.5s | ES patience: 0/15 [*]
2026-04-11 14:52:33 | Epoch   6/100 | Loss: 22.7922 | MAE: 23.52 CL | r: 0.8274 | LR: 2.00e-05 | 17.8s | ES patience: 0/15 [*]
2026-04-11 14:52:51 | Epoch   7/100 | Loss: 20.8619 | MAE: 20.75 CL | r: 0.7989 | LR: 2.00e-05 | 17.5s | ES patience: 0/15 [*]
2026-04-11 14:53:09 | Epoch   8/100 | Loss: 19.3278 | MAE: 19.43 CL | r: 0.8385 | LR: 2.00e-05 | 17.8s | ES patience: 0/15 [*]
2026-04-11 14:53:27 | Epoch   9/100 | Loss: 17.8854 | MAE: 17.61 CL | r: 0.8479 | LR: 2.00e-05 | 17.6s | ES patience: 0/15 [*]
2026-04-11 14:53:45 | Epoch  10/100 | Loss: 16.8180 | MAE: 17.45 CL | r: 0.8307 | LR: 2.00e-05 | 17.7s | ES patience: 0/15 [*]
2026-04-11 14:54:03 | Epoch  11/100 | Loss: 15.2888 | MAE: 15.72 CL | r: 0.8473 | LR: 2.00e-05 | 17.7s | ES patience: 0/15 [*]
2026-04-11 14:54:21 | Epoch  12/100 | Loss: 14.4225 | MAE: 14.08 CL | r: 0.8804 | LR: 2.00e-05 | 17.8s | ES patience: 0/15 [*]
2026-04-11 14:54:40 | Epoch  13/100 | Loss: 13.4523 | MAE: 13.21 CL | r: 0.9084 | LR: 2.00e-05 | 17.9s | ES patience: 0/15 [*]
2026-04-11 14:54:58 | Epoch  14/100 | Loss: 12.6314 | MAE: 12.46 CL | r: 0.8871 | LR: 2.00e-05 | 17.9s | ES patience: 0/15 [*]
2026-04-11 14:55:16 | Epoch  15/100 | Loss: 11.9907 | MAE: 13.04 CL | r: 0.9229 | LR: 2.00e-05 | 17.7s | ES patience: 1/15
2026-04-11 14:55:34 | Epoch  16/100 | Loss: 11.3528 | MAE: 11.83 CL | r: 0.9096 | LR: 2.00e-05 | 17.5s | ES patience: 0/15 [*]
2026-04-11 14:55:52 | Epoch  17/100 | Loss: 10.8946 | MAE: 12.18 CL | r: 0.9100 | LR: 2.00e-05 | 17.9s | ES patience: 1/15
2026-04-11 14:56:10 | Epoch  18/100 | Loss: 10.6684 | MAE: 11.67 CL | r: 0.9096 | LR: 2.00e-05 | 18.1s | ES patience: 0/15 [*]
2026-04-11 14:56:28 | Epoch  19/100 | Loss: 10.3277 | MAE: 12.17 CL | r: 0.9053 | LR: 2.00e-05 | 17.8s | ES patience: 1/15
2026-04-11 14:56:46 | Epoch  20/100 | Loss: 9.7872 | MAE: 11.81 CL | r: 0.9294 | LR: 2.00e-05 | 18.0s | ES patience: 2/15
2026-04-11 14:57:04 | Epoch  21/100 | Loss: 9.6679 | MAE: 11.79 CL | r: 0.9282 | LR: 1.00e-05 | 18.0s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 14:57:22 | Epoch  22/100 | Loss: 8.5661 | MAE: 10.50 CL | r: 0.9346 | LR: 1.00e-05 | 18.0s | ES patience: 0/15 [*]
2026-04-11 14:57:40 | Epoch  23/100 | Loss: 7.9073 | MAE: 10.32 CL | r: 0.9335 | LR: 1.00e-05 | 17.8s | ES patience: 0/15 [*]
2026-04-11 14:57:58 | Epoch  24/100 | Loss: 7.6205 | MAE: 10.97 CL | r: 0.9316 | LR: 1.00e-05 | 17.9s | ES patience: 1/15
2026-04-11 14:58:16 | Epoch  25/100 | Loss: 7.5204 | MAE: 10.69 CL | r: 0.9406 | LR: 1.00e-05 | 17.8s | ES patience: 2/15
2026-04-11 14:58:35 | Epoch  26/100 | Loss: 7.2714 | MAE: 10.06 CL | r: 0.9341 | LR: 1.00e-05 | 18.0s | ES patience: 0/15 [*]
2026-04-11 14:58:53 | Epoch  27/100 | Loss: 7.0828 | MAE: 10.86 CL | r: 0.9377 | LR: 1.00e-05 | 17.8s | ES patience: 1/15
2026-04-11 14:59:11 | Epoch  28/100 | Loss: 6.9057 | MAE: 10.10 CL | r: 0.9349 | LR: 1.00e-05 | 18.1s | ES patience: 2/15
2026-04-11 14:59:28 | Epoch  29/100 | Loss: 6.8324 | MAE: 10.58 CL | r: 0.9306 | LR: 5.00e-06 | 17.9s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 14:59:46 | Epoch  30/100 | Loss: 6.3203 | MAE: 10.25 CL | r: 0.9413 | LR: 5.00e-06 | 18.0s | ES patience: 1/15
2026-04-11 15:00:05 | Epoch  31/100 | Loss: 6.0052 | MAE: 9.93 CL | r: 0.9370 | LR: 5.00e-06 | 18.0s | ES patience: 0/15 [*]
2026-04-11 15:00:23 | Epoch  32/100 | Loss: 5.9550 | MAE: 9.84 CL | r: 0.9427 | LR: 5.00e-06 | 17.9s | ES patience: 0/15 [*]
2026-04-11 15:00:41 | Epoch  33/100 | Loss: 5.8301 | MAE: 10.12 CL | r: 0.9445 | LR: 5.00e-06 | 17.8s | ES patience: 1/15
2026-04-11 15:00:59 | Epoch  34/100 | Loss: 5.6739 | MAE: 9.94 CL | r: 0.9436 | LR: 5.00e-06 | 18.0s | ES patience: 2/15
2026-04-11 15:01:17 | Epoch  35/100 | Loss: 5.7440 | MAE: 10.50 CL | r: 0.9447 | LR: 2.50e-06 | 18.1s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 15:01:35 | Epoch  36/100 | Loss: 5.5706 | MAE: 9.52 CL | r: 0.9457 | LR: 2.50e-06 | 17.9s | ES patience: 0/15 [*]
2026-04-11 15:01:53 | Epoch  37/100 | Loss: 5.3048 | MAE: 10.03 CL | r: 0.9473 | LR: 2.50e-06 | 17.8s | ES patience: 1/15
2026-04-11 15:02:11 | Epoch  38/100 | Loss: 5.2188 | MAE: 9.74 CL | r: 0.9457 | LR: 2.50e-06 | 18.1s | ES patience: 2/15
2026-04-11 15:02:30 | Epoch  39/100 | Loss: 5.1696 | MAE: 9.67 CL | r: 0.9421 | LR: 1.25e-06 | 18.1s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 15:02:47 | Epoch  40/100 | Loss: 4.9233 | MAE: 9.71 CL | r: 0.9452 | LR: 1.25e-06 | 17.9s | ES patience: 1/15
2026-04-11 15:03:06 | Epoch  41/100 | Loss: 5.0508 | MAE: 9.61 CL | r: 0.9458 | LR: 1.25e-06 | 18.2s | ES patience: 2/15
2026-04-11 15:03:23 | Epoch  42/100 | Loss: 5.0264 | MAE: 9.58 CL | r: 0.9445 | LR: 1.00e-06 | 17.8s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 15:03:41 | Epoch  43/100 | Loss: 4.9847 | MAE: 9.62 CL | r: 0.9454 | LR: 1.00e-06 | 18.0s | ES patience: 1/15
2026-04-11 15:04:00 | Epoch  44/100 | Loss: 4.7313 | MAE: 9.62 CL | r: 0.9441 | LR: 1.00e-06 | 18.2s | ES patience: 2/15
2026-04-11 15:04:17 | Epoch  45/100 | Loss: 5.0323 | MAE: 9.70 CL | r: 0.9455 | LR: 1.00e-06 | 17.6s | ES patience: 3/15
2026-04-11 15:04:35 | Epoch  46/100 | Loss: 5.0575 | MAE: 9.60 CL | r: 0.9469 | LR: 1.00e-06 | 17.9s | ES patience: 4/15
2026-04-11 15:04:53 | Epoch  47/100 | Loss: 4.7484 | MAE: 9.55 CL | r: 0.9454 | LR: 1.00e-06 | 17.6s | ES patience: 5/15
2026-04-11 15:05:11 | Epoch  48/100 | Loss: 4.8534 | MAE: 9.53 CL | r: 0.9462 | LR: 1.00e-06 | 17.8s | ES patience: 6/15
2026-04-11 15:05:29 | Epoch  49/100 | Loss: 4.9172 | MAE: 9.77 CL | r: 0.9464 | LR: 1.00e-06 | 18.0s | ES patience: 7/15
