2026-04-11 15:45:18 | Args: {'train_csv': '/projectnb/medaihack/ABPET/data/train.csv', 'val_csv': '/projectnb/medaihack/ABPET/data/val.csv', 'epochs': 100, 'batch_size': 2, 'lr': 4e-05, 'num_workers': 4, 'resnet_depth': 18, 'embed_dim': 64, 'dropout': 0.5, 'checkpoint_dir': 'checkpoints', 'cache': False, 'loss': 'mae', 'patience': 15, 'max_grad_norm': 1.0, 'scheduler': 'plateau', 'lr_factor': 0.5, 'lr_patience': 2, 'lr_cooldown': 0, 'min_lr': 1e-08, 'compile': False, 'log_dir': 'logs', 'results_dir': 'results'}
2026-04-11 15:45:18 | Device: cuda
2026-04-11 15:45:19 | Model parameters: 33,433,409
2026-04-11 15:45:19 | ResNet depth: 18
2026-04-11 15:55:34 | Epoch  33/100 | Loss: 7.0751 | MAE: 8.71 CL | r: 0.9533 | LR: 1.00e-05 | 18.4s | ES patience: 1/15
2026-04-11 15:55:53 | Epoch  34/100 | Loss: 6.8068 | MAE: 8.97 CL | r: 0.9536 | LR: 1.00e-05 | 18.3s | ES patience: 2/15
2026-04-11 15:56:11 | Epoch  35/100 | Loss: 7.0763 | MAE: 9.01 CL | r: 0.9530 | LR: 5.00e-06 | 18.3s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 15:56:30 | Epoch  36/100 | Loss: 6.5190 | MAE: 8.53 CL | r: 0.9545 | LR: 5.00e-06 | 18.4s | ES patience: 0/15 [*]
2026-04-11 15:56:48 | Epoch  37/100 | Loss: 6.5016 | MAE: 8.51 CL | r: 0.9550 | LR: 5.00e-06 | 18.2s | ES patience: 0/15 [*]
2026-04-11 15:57:07 | Epoch  38/100 | Loss: 6.2248 | MAE: 8.51 CL | r: 0.9554 | LR: 5.00e-06 | 18.2s | ES patience: 0/15 [*]
2026-04-11 15:57:25 | Epoch  39/100 | Loss: 6.3494 | MAE: 8.66 CL | r: 0.9571 | LR: 5.00e-06 | 18.1s | ES patience: 1/15
2026-04-11 15:57:43 | Epoch  40/100 | Loss: 6.1660 | MAE: 8.80 CL | r: 0.9546 | LR: 2.50e-06 | 18.2s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 15:58:01 | Epoch  41/100 | Loss: 5.9724 | MAE: 8.84 CL | r: 0.9588 | LR: 2.50e-06 | 18.1s | ES patience: 1/15
2026-04-11 15:58:20 | Epoch  42/100 | Loss: 5.8992 | MAE: 8.54 CL | r: 0.9581 | LR: 2.50e-06 | 18.3s | ES patience: 2/15
2026-04-11 15:58:38 | Epoch  43/100 | Loss: 5.7835 | MAE: 8.63 CL | r: 0.9570 | LR: 1.25e-06 | 18.2s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 15:58:56 | Epoch  44/100 | Loss: 5.8310 | MAE: 8.58 CL | r: 0.9569 | LR: 1.25e-06 | 18.4s | ES patience: 1/15
2026-04-11 15:59:14 | Epoch  45/100 | Loss: 5.6211 | MAE: 8.64 CL | r: 0.9559 | LR: 1.25e-06 | 18.2s | ES patience: 2/15
2026-04-11 15:59:33 | Epoch  46/100 | Loss: 5.6627 | MAE: 8.57 CL | r: 0.9569 | LR: 6.25e-07 | 18.5s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 15:59:51 | Epoch  47/100 | Loss: 5.4502 | MAE: 8.56 CL | r: 0.9564 | LR: 6.25e-07 | 18.5s | ES patience: 1/15
2026-04-11 16:00:10 | Epoch  48/100 | Loss: 5.6553 | MAE: 8.56 CL | r: 0.9561 | LR: 6.25e-07 | 18.6s | ES patience: 2/15
2026-04-11 16:00:29 | Epoch  49/100 | Loss: 5.5460 | MAE: 8.65 CL | r: 0.9563 | LR: 3.13e-07 | 18.6s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 16:00:47 | Epoch  50/100 | Loss: 5.3424 | MAE: 8.56 CL | r: 0.9571 | LR: 3.13e-07 | 18.4s | ES patience: 1/15
2026-04-11 16:01:05 | Epoch  51/100 | Loss: 5.6982 | MAE: 8.66 CL | r: 0.9588 | LR: 3.13e-07 | 18.4s | ES patience: 2/15
2026-04-11 16:01:24 | Epoch  52/100 | Loss: 5.6089 | MAE: 8.59 CL | r: 0.9576 | LR: 1.56e-07 | 18.4s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 16:01:42 | Epoch  53/100 | Loss: 5.6418 | MAE: 8.58 CL | r: 0.9568 | LR: 1.56e-07 | 18.4s | ES patience: 1/15
2026-04-11 16:02:01 | Epoch  54/100 | Loss: 5.4039 | MAE: 8.56 CL | r: 0.9568 | LR: 1.56e-07 | 18.5s | ES patience: 2/15
2026-04-11 16:02:19 | Epoch  55/100 | Loss: 5.5214 | MAE: 8.60 CL | r: 0.9577 | LR: 7.81e-08 | 18.6s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 16:02:38 | Epoch  56/100 | Loss: 5.6264 | MAE: 8.55 CL | r: 0.9572 | LR: 7.81e-08 | 18.6s | ES patience: 1/15
